주유소명,시도명,시군구명,소재지도로명주소,소재지지번주소,전화번호,위도,경도,상표구분명,대표자명,총직원수,데이터기준일자,제공기관코드,제공기관명
진양에너지,대구광역시,북구,대구광역시 북구 노원로 3 (노원동3가),,,35.89076592,128.5635349,알뜰,,,2024-07-23,3450000,대구광역시 북구
미희주유소,대구광역시,북구,"대구광역시 북구 칠곡중앙대로 624 (읍내동,외 1필지(302-1))",,,35.95080283,128.553372,S-Oil,,,2024-07-23,3450000,대구광역시 북구
(주)에이치씨 대하에너지 보광주유소,대구광역시,북구,"대구광역시 북구 칠곡중앙대로 168 (태전동,외 3필지(834-1, 835-1, 836-1))",,,35.91104729,128.5487571,S-Oil,,,2024-07-23,3450000,대구광역시 북구
공명주유소,대구광역시,북구,대구광역시 북구 침산남로 43 (노원동1가),,,35.88930267,128.5806995,GS,,,2024-07-23,3450000,대구광역시 북구
에코주유소,대구광역시,북구,대구광역시 북구 노원로 190 (침산동),,,35.89962177,128.5809563,GS,,,2024-07-23,3450000,대구광역시 북구
강남고속주유소,대구광역시,북구,대구광역시 북구 노원로 216 (침산동),,,35.90001317,128.5836891,SK,,,2024-07-23,3450000,대구광역시 북구
다온주유소,대구광역시,북구,대구광역시 북구 산격로 45 (산격동),,,35.89467325,128.6051017,GS,,,2024-07-23,3450000,대구광역시 북구
대현주유소,대구광역시,북구,대구광역시 북구 대학로 16 (산격동),,,35.88884496,128.6034357,현대,,,2024-07-23,3450000,대구광역시 북구
한영주유소,대구광역시,북구,대구광역시 북구 공항로 73 (복현동),,,35.89952137,128.6231197,SK,,,2024-07-23,3450000,대구광역시 북구
대구주유소,대구광역시,북구,대구광역시 북구 노원로 97 (노원동3가),,,35.89564016,128.5718829,SK,,,2024-07-23,3450000,대구광역시 북구
(주)영신에너지,대구광역시,북구,대구광역시 북구 노원로 164 (노원동3가),,,35.89855303,128.5783800392,현대,,,2024-07-23,3450000,대구광역시 북구
흥구석유(주)산격주유소,대구광역시,북구,대구광역시 북구 동북로 39 (산격동),,,35.90231243,128.5979774,GS,,,2024-07-23,3450000,대구광역시 북구
신흥주유소,대구광역시,북구,대구광역시 북구 동북로 65-2 (산격동),,,35.90260728,128.6006632,현대,,,2024-07-23,3450000,대구광역시 북구
중앙주유소,대구광역시,북구,대구광역시 북구 동북로 315 (복현동),,,35.89184004,128.6245032,GS,,,2024-07-23,3450000,대구광역시 북구
케이케이(주)침산주유소,대구광역시,북구,대구광역시 북구 노원로 255 (침산동),,,35.90126928,128.5877135,현대,,,2024-07-23,3450000,대구광역시 북구
대훈남주유소,대구광역시,북구,대구광역시 북구 칠곡중앙대로 174 (태전동),,,35.91136969,128.5489204,GS,,,2024-07-23,3450000,대구광역시 북구
에이치디현대오일뱅크(주)직영칠곡주유소,대구광역시,북구,대구광역시 북구 칠곡중앙대로 482 (읍내동),,,35.93855953,128.5499486,GS,,,2024-07-23,3450000,대구광역시 북구
팔달41주유소,대구광역시,북구,대구광역시 북구 팔달로 41 (노원동3가),,,35.89123505,128.5549719,GS,,,2024-07-23,3450000,대구광역시 북구
오페라주유소,대구광역시,북구,대구광역시 북구 중앙대로 580 (침산동),,,35.88461589,128.5975688,현대,,,2024-07-23,3450000,대구광역시 북구
흥구석유(주)원대주유소,대구광역시,북구,대구광역시 북구 팔달로 67 (노원동3가),,,35.89086806,128.5580902,GS,,,2024-07-23,3450000,대구광역시 북구
SK에너지(주)한일주유소,대구광역시,북구,대구광역시 북구 칠곡중앙대로 315 (태전동),,,35.92382771,128.5465516,SK,,,2024-07-23,3450000,대구광역시 북구
해바라기Self주유소,대구광역시,북구,대구광역시 북구 대현로 81 (대현동),,,35.88311403,128.6080686,S-Oil,,,2024-07-23,3450000,대구광역시 북구
대성산업(주)대성주유소,대구광역시,북구,대구광역시 북구 침산로 62 (칠성동2가),,,35.88203763,128.5900799,GS,,,2024-07-23,3450000,대구광역시 북구
(주)아스트로 주유소,대구광역시,북구,대구광역시 북구 팔달로 215 (노원동2가),,,35.88824677,128.5732084,GS,,,2024-07-23,3450000,대구광역시 북구
대망주유소,대구광역시,북구,대구광역시 북구 중앙대로 601 (침산동),,,35.88657752,128.5976346,현대,,,2024-07-23,3450000,대구광역시 북구
(주) 서평택고속주유소,경기도,평택시,경기도 평택시 포승읍 포승공단로 260,경기도 평택시 포승읍 도곡리 721-6,,36.9864699163,126.8619378861,기타,최환,,2024-07-16,3910000,경기도 평택시
(주) 소모 송탄주유소,경기도,평택시,경기도 평택시 삼남로 445 (장안동),경기도 평택시 장안동 90-1,031-667-5189,37.0646231270,127.0922741371,기타,신준수+신승철+최세엽,,2024-07-16,3910000,경기도 평택시
(주)만남이엔지 만남주유소,경기도,평택시,경기도 평택시 안중읍 서동대로 1456,"경기도 평택시 안중읍 현화리 647-1, 648, 649",031-681-0923,36.990245,126.913147,기타,이영수,,2024-07-16,3910000,경기도 평택시
(주)봉남주유소,경기도,평택시,경기도 평택시 진위면 봉남길 6,"경기도 평택시 진위면 봉남리 371-2, 372-1 번지",,37.102088,127.085466,기타,심재한,,2024-07-16,3910000,경기도 평택시
(주)브레인시티주유소,경기도,평택시,경기도 평택시 청원로 1374 (이충동),경기도 평택시 이충동 72,031-666-8951,37.0525178010,127.0755085786,기타,이철규,,2024-07-16,3910000,경기도 평택시
대성주유소,경기도,평택시,경기도 평택시 서탄면 발안로 1192,경기도 평택시 서탄면 수월암리 242,,37.1350605416,127.0324470520,기타,전호택,,2024-07-16,3910000,경기도 평택시
(주)삼표에너지 신성주유소,경기도,평택시,경기도 평택시 고덕면 서동대로 2796,경기도 평택시 고덕면 동고리 152-1,031-664-5115,37.007081,127.046074,기타,김희경,,2024-07-16,3910000,경기도 평택시
(주)성인석유 천년지기주유소,경기도,평택시,경기도 평택시 서동대로 3622 (합정동),경기도 평택시 합정동 79-30,031-618-5772,36.9854328208,127.1120991759,기타,오인환,,2024-07-16,3910000,경기도 평택시
(주)스마트오일,경기도,평택시,경기도 평택시 진위면 경기대로 1905,경기도 평택시 진위면 가곡리 557-23 번지,031-668-6161,37.114505,127.063294,기타,한찬호,,2024-07-16,3910000,경기도 평택시
(주)승일(승일주유소),경기도,평택시,경기도 평택시 송탄로 240 (서정동),경기도 평택시 서정동 865-17,,37.065164,127.058583,기타,최승숙,,2024-07-16,3910000,경기도 평택시
(주)은십자직영 현화주유소,경기도,평택시,경기도 평택시 안중읍 서해로 1256,경기도 평택시 안중읍 용성리 711-5,031-681-0531,37.0046903816,126.9461310607,기타,송호선,,2024-07-16,3910000,경기도 평택시
(주)이마트24서비스 진위산단주유소,경기도,평택시,경기도 평택시 진위면 삼남로 712,경기도 평택시 진위면 마산리 367-2,031-668-0010,37.0874098751,127.0916587411,기타,한채양,,2024-07-16,3910000,경기도 평택시
SK고속주유소,경기도,평택시,경기도 평택시 서동대로 3848 (소사동),경기도 평택시 소사동 1-17,031-653-5154,36.992850,127.135268,SK,박승권,,2024-07-16,3910000,경기도 평택시
SK어연공단주유소,경기도,평택시,경기도 평택시 청북면 청원로 390,"경기도 평택시 청북읍 어연리 732-2, 737-7",031-686-5163,37.048192,126.9730917310,SK,윤석윤,,2024-07-16,3910000,경기도 평택시
SK에너지 (주)삼성주유소,경기도,평택시,경기도 평택시 청북읍 청원로 158,경기도 평택시 청북읍 토진리 214-16,031-683-8206,37.0393766850,126.951330,SK,오종훈,,2024-07-16,3910000,경기도 평택시
SK에너지(주) 평택항주유소,경기도,평택시,경기도 평택시 포승읍 포승공단로 240,경기도 평택시 포승읍 도곡리 632,031-682-6003,36.985222,126.8599621625,SK,오종훈,,2024-07-16,3910000,경기도 평택시
SK에너지(주) 포승행복주유소,경기도,평택시,경기도 평택시 포승읍 포승공단로 68,경기도 평택시 포승읍 만호리 573-1,031-681-5022,36.9778933145,126.8433591974,SK,오종훈,,2024-07-16,3910000,경기도 평택시
SK에너지(주)라인45주유소,경기도,평택시,경기도 평택시 팽성읍 팽성로 230,경기도 평택시 팽성읍 남산리 218-7,031-651-5182,36.9548556849,127.0611084543,SK,조경목,,2024-07-16,3910000,경기도 평택시
가람주유소,경기도,평택시,경기도 평택시 안중읍 강변로 196,경기도 평택시 안중읍 대반리 355,031-682-6616,36.980052,126.9500675818,기타,이항범,,2024-07-16,3910000,경기도 평택시
고덕IC주유소,경기도,평택시,경기도 평택시 고덕면 서동대로 2633,경기도 평택시 고덕면 방축리 670-1,,37.0158332640,127.0324937138,기타,강세현,,2024-07-16,3910000,경기도 평택시
구도일주유소 아산공원,경기도,평택시,경기도 평택시 현덕면 서해로 314,경기도 평택시 현덕면 권관리 산 54-3,031-681-5144,36.929171,126.915371,기타,박호남,,2024-07-16,3910000,경기도 평택시
국도주유소,경기도,평택시,경기도 평택시 경기대로 781,경기도 평택시 지제동 559,031-656-6150,37.0192300555,127.0714149123,기타,천낙규,,2024-07-16,3910000,경기도 평택시
굿모닝주유소,경기도,평택시,경기도 평택시 포승읍 서동대로 501,경기도 평택시 포승읍 신영리 413-16,031-682-9578,36.942993,126.877904,기타,송미숙,,2024-07-16,3910000,경기도 평택시
그린주유소,경기도,평택시,경기도 평택시 삼남로 529 (지산동),경기도 평택시 지산동 74-2,,37.0718146970,127.0896544286,기타,조성현,,2024-07-16,3910000,경기도 평택시
금곡주유소,경기도,평택시,경기도 평택시 안중읍 서해로 1209,경기도 평택시 안중읍 금곡리 550-4,031-681-5088,37.0011426468,126.9432405293,기타,신명자,,2024-07-16,3910000,경기도 평택시
금영주유소,경기도,평택시,경기도 평택시 진위면 경기대로 1786,경기도 평택시 진위면 견산리 558-7 번지,031-668-6201,37.103706,127.0642373774,기타,백영운,,2024-07-16,3910000,경기도 평택시
기름맛집주유소,경기도,평택시,경기도 평택시 안중읍 서동대로 1411,경기도 평택시 안중읍 학현리 284-9,031-682-4988,36.991864,126.9081670538,기타,김지희,,2024-07-16,3910000,경기도 평택시
기산셀프주유소,경기도,평택시,경기도 평택시 현덕면 서해로 471,경기도 평택시 현덕면 기산리 140-98,031-682-0885,36.9427506694,126.9142007204,기타,김경순,,2024-07-16,3910000,경기도 평택시
남부주유소,경기도,평택시,경기도 평택시 청북읍 청오로 396,"경기도 평택시 청북읍 토진리 403-1,2,3",,37.034086,126.960370,기타,서동옥,,2024-07-16,3910000,경기도 평택시
남선석유㈜ 하나주유소,경기도,평택시,경기도 평택시 경기대로 1280 (이충동),경기도 평택시 이충동 661,,37.059668,127.0645660903,기타,김형우,,2024-07-16,3910000,경기도 평택시
남양주유소,경기도,평택시,경기도 평택시 포승읍 포승향남로 547,경기도 평택시 포승읍 원정리 105-8,,37.004486,126.8276104937,기타,전형준+전영언,,2024-07-16,3910000,경기도 평택시
내트럭(주)평택사업소,경기도,평택시,경기도 평택시 포승읍 하만호길 229,경기도 평택시 포승읍 만호리 668,070-7747-4950,36.9543685105,126.8502385841,기타,김기철,,2024-07-16,3910000,경기도 평택시
뉴시티-팽성주유소(성은에너지),경기도,평택시,경기도 평택시 팽성읍 안정로 90,경기도 평택시 팽성읍 안정리 22-6,031-691-8047,36.963008,127.052393,기타,김권일,,2024-07-16,3910000,경기도 평택시
다복주유소,경기도,평택시,경기도 평택시 현덕면 서해로 399,경기도 평택시 현덕면 권관리 919-10,031-681-5181,36.9367453370,126.915426,기타,김장훈,,2024-07-16,3910000,경기도 평택시
다올주유소,경기도,평택시,경기도 평택시 안중읍 서해로 1408,경기도 평택시 안중읍 용성리 65-1,031-682-5199,37.0182844719,126.9457986219,기타,김정미,,2024-07-16,3910000,경기도 평택시
달구지주유소,경기도,평택시,경기도 평택시 진위면 남부대로 613,경기도 평택시 진위면 동천리 606-129,031-663-8065,37.1250175277,127.0984577386,기타,이성일,,2024-07-16,3910000,경기도 평택시
대성산업(주)평택주유소,경기도,평택시,경기도 평택시 경기대로 1232 (이충동),경기도 평택시 이충동 604-1,031-611-5130,37.056278,127.061308,기타,김영대+이은우,,2024-07-16,3910000,경기도 평택시
대성산업(주)현대주유소,경기도,평택시,경기도 평택시 서동대로 3929 (용이동),경기도 평택시 용이동 470-5,031-654-0217,36.996285,127.142716,현대,이은우+김영대,,2024-07-16,3910000,경기도 평택시
SK성당주유소,대구광역시,남구,대구광역시 남구 성당로 280,대구광역시 남구 대명동 2284-1,053-219-6200,35.8578101451,128.5747408143,SK,신정화,,2024-08-05,3440000,대구광역시 남구
대원주유소,경기도,평택시,경기도 평택시 지산천로 90 (독곡동),경기도 평택시 독곡동 406-5,,37.084218,127.058519,기타,김유경+백오현,,2024-07-16,3910000,경기도 평택시
덕성에너지 평택지점,경기도,평택시,경기도 평택시 진위면 경기대로 1921,경기도 평택시 진위면 가곡리 557-24 번지,,37.1158915567,127.063618,기타,장순철,,2024-07-16,3910000,경기도 평택시
덕양셀프주유소,경기도,평택시,경기도 평택시 현덕면 서동대로 1286,경기도 평택시 현덕면 운정리 6-10,,36.987052,126.895550,기타,윤동길,,2024-07-16,3910000,경기도 평택시
도계주유소,경기도,평택시,경기도 평택시 팽성읍 팽성로 6,경기도 평택시 팽성읍 석근리 122-1,031-691-2235,36.9386763052,127.0469117003,기타,박문환,,2024-07-16,3910000,경기도 평택시
도일주유소,경기도,평택시,경기도 평택시 도일로 201 (도일동),경기도 평택시 도일동 276-1,031-611-5135,37.055938,127.1151266275,기타,김희아,,2024-07-16,3910000,경기도 평택시
동1self주유소,경기도,평택시,경기도 평택시 삼남로 94 (도일동),경기도 평택시 도일동 1005-10,031-663-8995,37.035095,127.0992291755,기타,동소욱,,2024-07-16,3910000,경기도 평택시
동아에너지,경기도,평택시,경기도 평택시 남북대로 539 (동삭동),경기도 평택시 동삭동 357-13,031-664-7743,37.0236795097,127.0912443071,기타,박봉진,,2024-07-16,3910000,경기도 평택시
동양산업(주)직영 안일주유소,경기도,평택시,경기도 평택시 안중읍 서동대로 1736,경기도 평택시 안중읍 안중리 61-17,031-681-9418,36.9911187494,126.9427166495,기타,박기우,,2024-07-16,3910000,경기도 평택시
동양산업(주)직영 해안주유소,경기도,평택시,경기도 평택시 포승읍 서동대로 376,경기도 평택시 포승읍 신영리 829,031-682-5188,36.937862,126.8904051975,기타,박기우,,2024-07-16,3910000,경기도 평택시
동우주유소,경기도,평택시,경기도 평택시 평남로 84 (신대동),경기도 평택시 신대동 434-4,031-657-0901,37.001377,127.0613878918,기타,동소욱,,2024-07-16,3910000,경기도 평택시
동일석유(주)금성주유소,경기도,평택시,경기도 평택시 경기대로 1078 (장당동),경기도 평택시 장당동 52-7,,37.043688,127.0632325072,기타,이정수,,2024-07-16,3910000,경기도 평택시
동진에너지(비전주유소),경기도,평택시,경기도 평택시 만세로 1754-3 (비전동),경기도 평택시 비전동 41-1,031-655-5145,37.0110492955,127.109122,기타,김동균,,2024-07-16,3910000,경기도 평택시
만세로주유소,경기도,평택시,경기도 평택시 만세로 1555 (청룡동),경기도 평택시 청룡동 196-1,031-651-7474,37.025772,127.1222376172,기타,송원섭,,2024-07-16,3910000,경기도 평택시
무림통운(주) 주유소,경기도,평택시,경기도 평택시 도일유통길 69 (도일동),경기도 평택시 도일동 1170-2,031-664-3960,37.0382732500,127.1035625000,기타,무림통운(주),,2024-07-16,3910000,경기도 평택시
믿음주유소,경기도,평택시,경기도 평택시 고덕면 청원로 673,경기도 평택시 고덕면 동청리 47-6,,37.054102,127.002921,기타,양정희,,2024-07-16,3910000,경기도 평택시
백련주유소,경기도,평택시,경기도 평택시 청원로 1394 (이충동),경기도 평택시 이충동 79-2외 2필지,031-668-4411,37.0520655237,127.0777836539,기타,김진순,,2024-07-16,3910000,경기도 평택시
비원주유소,경기도,평택시,경기도 평택시 현덕면 안현로 238,경기도 평택시 현덕면 인광리 217-5,031-681-5189,36.972888,126.922803,기타,이선기,,2024-07-16,3910000,경기도 평택시
사랑의주유소,경기도,평택시,경기도 평택시 팽성읍 팽성북로 415,경기도 평택시 팽성읍 신궁리 11-167,031-651-5179,36.981706,127.078530,기타,채선미,,2024-07-16,3910000,경기도 평택시
산운에너지,경기도,평택시,경기도 평택시 청원로 1466 (가재동),"경기도 평택시 가재동 322-3, -6",031-664-6255,37.049615,127.084871,기타,정다순,,2024-07-16,3910000,경기도 평택시
삼성주유소,경기도,평택시,경기도 평택시 탄현로 344 (지산동),경기도 평택시 지산동 743-1,,37.082651,127.0571528336,기타,김권일,,2024-07-16,3910000,경기도 평택시
삼성주유소,경기도,평택시,경기도 평택시 탄현로 344 (지산동),경기도 평택시 지산동 743-1 번지,,37.082651,127.0571528336,기타,,,2024-07-16,3910000,경기도 평택시
상선주유소,경기도,평택시,경기도 평택시 청북읍 서해로 1914,경기도 평택시 청북읍 고렴리 451-1 외 2필지,031-683-8549,37.058740,126.924289,기타,김은집,,2024-07-16,3910000,경기도 평택시
새힘주유소,경기도,평택시,경기도 평택시 청북읍 서해로 1453,경기도 평택시 청북읍 후사리 388-5,02-3416-6769,37.021883,126.942711,기타,성희재,,2024-07-16,3910000,경기도 평택시
서경주유소,경기도,평택시,경기도 평택시 팽성읍 사거리길 7,경기도 평택시 팽성읍 석근리 2-18,031-655-3900,36.943091,127.051007,기타,허성수,,2024-07-16,3910000,경기도 평택시
서울석유(주) 이에스주유소,경기도,평택시,경기도 평택시 동삭로 363 (동삭동),경기도 평택시 동삭동 337-1,031-656-5115,37.0187636667,127.0953793515,기타,김의진,,2024-07-16,3910000,경기도 평택시
서울석유(주) 항만주유소,경기도,평택시,경기도 평택시 포승읍 서동대로 524,경기도 평택시 포승읍 신영리 413-11,031-668-4686,36.9452240330,126.8755696029,기타,김의진,,2024-07-16,3910000,경기도 평택시
서탄주유소,경기도,평택시,경기도 평택시 서탄면 서탄로 174,경기도 평택시 서탄면 금암리 44-1,,37.1049253162,127.0440225504,기타,윤하중,,2024-07-16,3910000,경기도 평택시
서평택IC셀프주유소,경기도,평택시,경기도 평택시 포승읍 불당길 130,경기도 평택시 포승읍 도곡리 745-2,031-681-9060,36.9885524738,126.8652871100,기타,백상현,,2024-07-16,3910000,경기도 평택시
서해안주유소,경기도,평택시,경기도 평택시 현덕면 서해로 517,"경기도 평택시 현덕면 기산리 135-39, 70",031-683-8811,36.946562,126.912311,기타,장소영,,2024-07-16,3910000,경기도 평택시
송내주유소,경기도,평택시,경기도 평택시 포승읍 서동대로 896,경기도 평택시 포승읍 희곡리 260-2,031-682-5182,36.967532,126.862012,기타,황성열,,2024-07-16,3910000,경기도 평택시
송탄다원주유소,경기도,평택시,경기도 평택시 정암로 126-48 (이충동),경기도 평택시 이충동 103-12,031-664-6111,37.0535797141,127.071766,기타,조정득,,2024-07-16,3910000,경기도 평택시
슈퍼맨주유소,경기도,평택시,경기도 평택시 탄현로 192 (서정동),경기도 평택시 서정동 785-11,,37.0697848764,127.054873,기타,황연석,,2024-07-16,3910000,경기도 평택시
스마트주유소,경기도,평택시,경기도 평택시 경기대로 1245 (이충동),경기도 평택시 이충동 438-3,,37.057401,127.061475,기타,박인곤,,2024-07-16,3910000,경기도 평택시
스타주유소,경기도,평택시,경기도 평택시 안중읍 서동대로 1941,경기도 평택시 안중읍 금곡리 47-2,031-684-5159,37.0031419076,126.959357,기타,최은주,,2024-07-16,3910000,경기도 평택시
스파이더맨 주유소,경기도,평택시,경기도 평택시 진위면 남부대로 597,경기도 평택시 진위면 동천리 600-1,,37.1265509414,127.096754,기타,이진영,,2024-07-16,3910000,경기도 평택시
씨알에스엘,경기도,평택시,경기도 평택시 울성길 21,"경기도 평택시 신대동 142-4, 10",031-651-5189,37.003189,127.0726332084,기타,이만구,,2024-07-16,3910000,경기도 평택시
안중농협 송담주유소,경기도,평택시,경기도 평택시 현덕면 송담1로 10,경기도 평택시 현덕면 인광리 207-5,031-682-8400,36.976174,126.9248097843,기타,박봉석,,2024-07-16,3910000,경기도 평택시
안중농협 청북주유소,경기도,평택시,경기도 평택시 청북읍 신포길 41,경기도 평택시 청북읍 현곡리 292-17,031-683-5006,37.039629,126.933674,기타,이계엽,,2024-07-16,3910000,경기도 평택시
에스씨에너지(주),경기도,평택시,경기도 평택시 서동대로 3853 (용이동),경기도 평택시 용이동 606-5,031-618-5152,36.993499,127.135402,기타,전형구,,2024-07-16,3910000,경기도 평택시
에이치디현대오일 뱅크(주) 직영 비전현대self 주유소,경기도,평택시,경기도 평택시 경기대로 572 (세교동),"경기도 평택시 세교동 277-1, 277-3, 277-5번지",031-651-5188,37.005573,127.084129,현대,주영민,,2024-07-16,3910000,경기도 평택시
에이치디현대오일 뱅크(주) 직영 세교현대Self주유소,경기도,평택시,경기도 평택시 경기대로 542 (세교동),경기도 평택시 세교동 57-3 번지,031-618-5184,37.0044054505,127.0872065191,현대,주영민,,2024-07-16,3910000,경기도 평택시
